Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,1,1665706600247.814,42.187
Depth,0,2,1665706600281.158,75.382
Depth,0,3,1665706600316.430,109.708
Depth,0,4,1665706600353.508,141.896
Depth,0,5,1665706600392.390,175.663
Depth,0,6,1665706600433.079,208.726
Depth,0,7,1665706600475.573,241.376
Depth,0,8,1665706600519.872,274.308
Depth,0,9,1665706600560.990,307.679
Depth,0,10,1665706600849.570,541.859
Depth,0,11,1665706600888.930,575.041
Depth,0,12,1665706600928.156,608.352
Depth,0,13,1665706600967.250,642.521
Depth,0,14,1665706601006.212,675.946
Depth,0,15,1665706601045.041,708.331
Depth,0,16,1665706601083.120,741.627
Depth,0,17,1665706601120.999,775.014
Depth,0,18,1665706601158.677,808.388
Depth,0,19,1665706601195.468,841.840
Depth,0,20,1665706601231.987,875.186
Depth,0,21,1665706601268.233,908.510
Depth,0,22,1665706601304.039,941.886
Depth,0,23,1665706601339.555,975.385
Depth,0,24,1665706601374.781,1009.524
Depth,0,25,1665706601409.791,1042.505
Depth,0,26,1665706601444.515,1075.305
Depth,0,27,1665706601478.954,1109.324
Depth,0,28,1665706601513.300,1143.003
Depth,0,29,1665706601547.373,1175.729
Depth,0,30,1665706601581.173,1208.878
Depth,0,31,1665706601614.967,1242.331
Depth,0,32,1665706601648.504,1275.701
Depth,0,33,1665706601681.783,1310.066
Depth,0,34,1665706601715.123,1342.473
Depth,0,35,1665706601748.223,1376.769
Depth,0,36,1665706601781.083,1409.036
Depth,0,37,1665706601814.051,1442.460
Depth,0,38,1665706601846.796,1475.682
Depth,0,39,1665706601879.320,1509.037
Depth,0,40,1665706601911.987,1542.549
Depth,0,41,1665706601944.449,1576.024
Depth,0,42,1665706601976.708,1609.355
Depth,0,43,1665706602009.135,1642.605
Depth,0,44,1665706602041.375,1676.193
Depth,0,45,1665706602073.427,1709.519
Depth,0,46,1665706602105.294,1742.892
Depth,0,47,1665706602136.973,1776.231
Depth,0,48,1665706602168.466,1809.555
Depth,0,49,1665706602199.772,1842.958
Depth,0,50,1665706602230.891,1877.007
Depth,0,51,1665706602261.823,1909.655
Depth,0,52,1665706602292.569,1942.705
Depth,0,53,1665706602323.128,1976.222
Depth,0,54,1665706602353.500,2009.551
Depth,0,55,1665706602383.685,2042.606
Depth,0,56,1665706602413.683,2075.983
Depth,0,57,1665706602443.494,2109.353
Depth,0,58,1665706602473.119,2142.905
Depth,0,59,1665706602502.557,2176.547
Depth,0,60,1665706602531.808,2209.879
Depth,0,61,1665706602560.873,2243.308
Depth,0,62,1665706602589.750,2276.653
Depth,0,63,1665706602618.441,2310.018
Depth,0,64,1665706602646.945,2343.261
Depth,0,65,1665706602675.262,2376.807
Depth,0,66,1665706602703.392,2409.977
Depth,0,67,1665706602731.336,2443.328
Depth,0,68,1665706602759.093,2476.940
Depth,0,69,1665706602786.662,2510.118
Depth,0,70,1665706602814.045,2543.529
Depth,0,71,1665706602841.242,2576.891
Depth,0,72,1665706602868.406,2610.111
Depth,0,73,1665706602901.763,2643.473
Depth,0,74,1665706602935.115,2677.034
Depth,0,75,1665706602968.461,2710.231
Depth,0,76,1665706603001.801,2743.600
Depth,0,77,1665706603035.135,2777.093
Depth,0,78,1665706603068.464,2810.248
Depth,0,79,1665706603101.786,2843.644
Depth,0,80,1665706603135.104,2877.184
Depth,0,81,1665706603168.415,2910.473
Depth,0,82,1665706603201.720,2944.186
Depth,0,83,1665706603235.020,2977.068
Depth,0,84,1665706603268.314,3010.055
Depth,0,85,1665706603301.602,3044.673
Depth,0,86,1665706603334.885,3076.920
Depth,0,87,1665706603368.162,3110.314
Depth,0,88,1665706603401.433,3143.727
Depth,0,89,1665706603434.698,3177.563
Depth,0,90,1665706603467.958,3210.136
Depth,0,91,1665706603501.211,3244.442
Depth,0,92,1665706603534.459,3277.637
Depth,0,93,1665706603567.702,3310.406
Depth,0,94,1665706603600.938,3343.788
Depth,0,95,1665706603634.169,3377.145
Depth,0,96,1665706603667.394,3410.640
Depth,0,97,1665706603700.614,3444.016
Depth,0,98,1665706603733.827,3477.401
Depth,0,99,1665706603767.035,3510.706
Depth,0,100,1665706603800.237,3544.229
Depth,0,101,1665706603833.433,3577.481
Depth,0,102,1665706603866.630,3610.836
Depth,0,103,1665706603899.419,3644.250
Depth,0,104,1665706603932.186,3677.558
Depth,0,105,1665706603964.930,3710.956
Depth,0,106,1665706603997.653,3744.362
Depth,0,107,1665706604030.353,3777.466
Depth,0,108,1665706604063.032,3811.015
Depth,0,109,1665706604095.688,3844.388
Depth,0,110,1665706604128.323,3877.946
Depth,0,111,1665706604160.935,3911.331
Depth,0,112,1665706604193.526,3944.791
Depth,0,113,1665706604226.094,3977.669
Depth,0,114,1665706604258.641,4010.909
Depth,0,115,1665706604291.165,4044.097
Depth,0,116,1665706604323.668,4077.451
Depth,0,117,1665706604356.148,4111.031
Depth,0,118,1665706604388.606,4144.747
Depth,0,119,1665706604421.043,4178.056
Depth,0,120,1665706604453.457,4211.386
Depth,0,121,1665706604485.850,4244.718
Depth,0,122,1665706604518.220,4277.849
Depth,0,123,1665706604550.568,4311.207
Depth,0,124,1665706604582.895,4344.594
Depth,0,125,1665706604615.199,4377.921
Depth,0,126,1665706604647.481,4411.471
Depth,0,127,1665706604679.742,4444.754
Depth,0,128,1665706604711.980,4478.185
Depth,0,129,1665706604744.196,4511.515
Depth,0,130,1665706604776.390,4544.930
Depth,0,131,1665706604808.562,4578.263
Depth,0,132,1665706604840.735,4611.609
Depth,0,133,1665706604874.092,4644.965
Depth,0,134,1665706604907.453,4678.329
Depth,0,135,1665706604940.818,4711.610
Depth,0,136,1665706604974.186,4745.122
Depth,0,137,1665706605007.558,4778.456
Depth,0,138,1665706605040.934,4811.729
Depth,0,139,1665706605074.314,4845.196
Depth,0,140,1665706605107.697,4878.552
Depth,0,141,1665706605141.085,4911.923
Depth,0,142,1665706605174.476,4945.830
Depth,0,143,1665706605207.871,4978.301
Depth,0,144,1665706605241.269,5011.568
Depth,0,145,1665706605274.672,5045.651
Depth,0,146,1665706605308.078,5078.299
Depth,0,147,1665706605341.488,5111.652
Depth,0,148,1665706605374.902,5145.005
Depth,0,149,1665706605408.320,5178.529
Depth,0,150,1665706605441.741,5212.012
Depth,0,151,1665706605475.167,5245.341
Depth,0,152,1665706605508.596,5278.715
Depth,0,153,1665706605542.029,5311.983
Depth,0,154,1665706605575.465,5345.411
Depth,0,155,1665706605608.906,5378.749
Depth,0,156,1665706605642.350,5412.023
Depth,0,157,1665706605675.798,5445.490
Depth,0,158,1665706605709.250,5478.855
Depth,0,159,1665706605742.706,5512.275
Depth,0,160,1665706605776.165,5545.537
Depth,0,161,1665706605809.628,5578.796
Depth,0,162,1665706605843.088,5612.310
Depth,0,163,1665706605876.611,5645.577
Depth,0,164,1665706605910.140,5679.005
Depth,0,165,1665706605943.676,5712.284
Depth,0,166,1665706605977.219,5745.702
Depth,0,167,1665706606010.768,5778.921
Depth,0,168,1665706606044.323,5812.332
Depth,0,169,1665706606077.886,5845.744
Depth,0,170,1665706606111.455,5879.000
Depth,0,171,1665706606145.031,5912.263
Depth,0,172,1665706606178.613,5945.503
Depth,0,173,1665706606212.201,5978.961
Depth,0,174,1665706606245.797,6012.352
Depth,0,175,1665706606279.399,6045.593
Depth,0,176,1665706606313.007,6078.892
Depth,0,177,1665706606346.622,6112.241
Depth,0,178,1665706606380.244,6145.663
Depth,0,179,1665706606413.872,6179.417
Depth,0,180,1665706606447.507,6212.854
Depth,0,181,1665706606481.149,6246.333
Depth,0,182,1665706606514.797,6279.685
Depth,0,183,1665706606548.451,6312.589
Depth,0,184,1665706606582.113,6345.986
Depth,0,185,1665706606615.781,6379.675
Depth,0,186,1665706606649.455,6413.062
Depth,0,187,1665706606683.136,6446.362
Depth,0,188,1665706606716.824,6479.696
Depth,0,189,1665706606750.518,6512.868
Depth,0,190,1665706606784.219,6546.218
Depth,0,191,1665706606817.926,6579.553
Depth,0,192,1665706606851.630,6613.061
Depth,0,193,1665706606885.139,6646.378
Depth,0,194,1665706606918.654,6679.725
Depth,0,195,1665706606952.173,6713.098
Depth,0,196,1665706606985.697,6746.525
Depth,0,197,1665706607019.226,6779.841
Depth,0,198,1665706607052.760,6813.204
Depth,0,199,1665706607086.298,6846.675
Depth,0,200,1665706607119.841,6879.936
Depth,0,201,1665706607153.389,6913.348
Depth,0,202,1665706607186.942,6946.764
Depth,0,203,1665706607220.499,6980.067
Depth,0,204,1665706607254.061,7013.174
Depth,0,205,1665706607287.628,7046.290
Depth,0,206,1665706607321.200,7079.601
Depth,0,207,1665706607354.776,7113.006
Depth,0,208,1665706607388.357,7146.763
Depth,0,209,1665706607421.943,7180.631
Depth,0,210,1665706607455.534,7213.575
Depth,0,211,1665706607489.130,7246.622
Depth,0,212,1665706607522.730,7279.980
Depth,0,213,1665706607556.335,7313.416
Depth,0,214,1665706607589.944,7346.897
Depth,0,215,1665706607623.559,7380.259
Depth,0,216,1665706607657.178,7413.595
Depth,0,217,1665706607690.802,7446.971
Depth,0,218,1665706607724.431,7480.327
Depth,0,219,1665706607758.064,7513.667
Depth,0,220,1665706607791.702,7547.036
Depth,0,221,1665706607825.345,7580.435
Depth,0,222,1665706607858.986,7613.836
