Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,0,1664229447969.696,9.338
Depth,0,1,1664229448003.040,41.598
Depth,0,2,1664229448037.616,76.240
Depth,0,3,1664229448073.312,109.909
Depth,0,4,1664229448110.128,143.178
Depth,0,5,1664229448148.063,176.275
Depth,0,6,1664229448187.118,209.756
Depth,0,7,1664229448227.294,242.488
Depth,0,8,1664229448265.934,275.892
Depth,0,9,1664229448305.066,309.751
Depth,0,0,1664229448547.822,524.932
Depth,0,1,1664229448584.146,558.252
Depth,0,2,1664229448620.325,592.894
Depth,0,3,1664229448656.360,626.658
Depth,0,4,1664229448692.111,659.570
Depth,0,5,1664229448727.700,692.451
Depth,0,6,1664229448763.126,726.088
Depth,0,7,1664229448798.362,759.561
Depth,0,8,1664229448833.430,792.979
Depth,0,9,1664229448868.331,826.113
Depth,0,10,1664229448903.112,859.436
Depth,0,11,1664229448937.727,892.505
Depth,0,12,1664229448972.178,926.099
Depth,0,13,1664229449006.567,959.259
Depth,0,14,1664229449040.799,992.839
Depth,0,15,1664229449074.873,1026.383
Depth,0,16,1664229449108.789,1059.689
Depth,0,17,1664229449142.549,1093.235
Depth,0,18,1664229449176.150,1126.525
Depth,0,19,1664229449210.263,1159.854
Depth,0,20,1664229449244.266,1193.224
Depth,0,21,1664229449278.159,1226.587
Depth,0,22,1664229449311.942,1259.782
Depth,0,23,1664229449345.614,1293.342
Depth,0,24,1664229449379.176,1326.606
Depth,0,25,1664229449413.128,1359.944
Depth,0,26,1664229449446.999,1393.282
Depth,0,27,1664229449480.789,1426.770
Depth,0,28,1664229449514.496,1460.036
Depth,0,29,1664229449548.122,1493.509
Depth,0,30,1664229449581.667,1526.847
Depth,0,31,1664229449615.502,1560.046
Depth,0,32,1664229449649.274,1593.468
Depth,0,33,1664229449682.982,1626.805
Depth,0,34,1664229449716.453,1661.047
Depth,0,35,1664229449749.848,1694.225
Depth,0,36,1664229449783.167,1727.365
Depth,0,37,1664229449816.378,1760.442
Depth,0,38,1664229449849.510,1794.625
Depth,0,39,1664229449882.562,1826.534
Depth,0,40,1664229449915.534,1860.702
Depth,0,41,1664229449948.428,1894.042
Depth,0,42,1664229449981.242,1928.136
Depth,0,43,1664229450013.978,1961.758
Depth,0,44,1664229450046.634,1995.012
Depth,0,45,1664229450079.210,2027.828
Depth,0,46,1664229450111.708,2061.676
Depth,0,47,1664229450144.126,2094.087
Depth,0,48,1664229450176.465,2127.453
Depth,0,49,1664229450208.725,2160.886
Depth,0,50,1664229450240.906,2193.823
Depth,0,51,1664229450273.007,2227.079
Depth,0,52,1664229450305.030,2260.424
Depth,0,53,1664229450336.973,2293.874
Depth,0,54,1664229450368.836,2327.158
Depth,0,55,1664229450400.621,2360.604
Depth,0,56,1664229450432.326,2393.837
Depth,0,57,1664229450463.952,2427.293
Depth,0,58,1664229450495.499,2460.603
Depth,0,59,1664229450526.967,2494.019
Depth,0,60,1664229450558.355,2527.343
Depth,0,61,1664229450589.665,2560.697
Depth,0,62,1664229450620.895,2594.079
Depth,0,63,1664229450652.045,2627.766
Depth,0,64,1664229450683.117,2661.017
Depth,0,65,1664229450714.109,2694.113
Depth,0,66,1664229450745.092,2727.363
Depth,0,67,1664229450778.422,2760.774
Depth,0,68,1664229450811.735,2794.240
Depth,0,69,1664229450845.033,2827.498
Depth,0,70,1664229450878.315,2860.841
Depth,0,71,1664229450911.580,2894.298
Depth,0,72,1664229450944.830,2927.888
Depth,0,73,1664229450978.064,2960.925
Depth,0,74,1664229451011.281,2994.174
Depth,0,75,1664229451044.483,3027.668
Depth,0,76,1664229451077.668,3061.047
Depth,0,77,1664229451110.838,3094.844
Depth,0,78,1664229451143.991,3127.850
Depth,0,79,1664229451177.129,3161.387
Depth,0,80,1664229451210.250,3194.644
Depth,0,81,1664229451243.355,3227.895
Depth,0,82,1664229451276.445,3261.376
Depth,0,83,1664229451309.518,3294.758
Depth,0,84,1664229451342.575,3327.957
Depth,0,85,1664229451375.617,3361.471
Depth,0,86,1664229451408.642,3394.795
Depth,0,87,1664229451441.651,3433.341
Depth,0,88,1664229451474.645,3461.572
Depth,0,89,1664229451507.622,3494.825

Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Color,0,0,1664229448437.374,453.004
Color,0,1,1664229448474.299,484.016
Color,0,2,1664229448511.121,517.253
Color,0,3,1664229448547.842,550.720
Color,0,4,1664229448584.165,584.022
Color,0,5,1664229448620.344,617.370
Color,0,6,1664229448656.379,650.701
Color,0,7,1664229448692.130,683.894
Color,0,8,1664229448727.719,717.448
Color,0,9,1664229448763.145,750.651
Color,0,10,1664229448798.381,784.136
Color,0,11,1664229448833.449,817.432
Color,0,12,1664229448868.350,850.722
Color,0,13,1664229448903.130,884.090
Color,0,14,1664229448937.746,917.650
Color,0,15,1664229448972.197,950.903
Color,0,16,1664229449006.586,984.274
Color,0,17,1664229449040.817,1017.598
Color,0,18,1664229449074.891,1051.148
Color,0,19,1664229449108.808,1084.297
Color,0,20,1664229449142.567,1117.686
Color,0,21,1664229449176.168,1151.110
Color,0,22,1664229449210.282,1184.445
Color,0,23,1664229449244.285,1217.705
Color,0,24,1664229449278.177,1251.411
Color,0,25,1664229449311.960,1284.429
Color,0,26,1664229449345.632,1317.803
Color,0,27,1664229449379.194,1351.103
Color,0,28,1664229449413.146,1384.498
Color,0,29,1664229449447.018,1417.866
Color,0,30,1664229449480.807,1451.547
Color,0,31,1664229449514.514,1484.954
Color,0,32,1664229449548.140,1518.144
Color,0,33,1664229449581.685,1551.579
Color,0,34,1664229449615.521,1584.826
Color,0,35,1664229449649.292,1618.145
Color,0,36,1664229449683.000,1651.481
Color,0,37,1664229449716.471,1685.329
Color,0,38,1664229449749.866,1719.130
Color,0,39,1664229449783.186,1752.522
Color,0,40,1664229449816.396,1785.918
Color,0,41,1664229449849.527,1820.979
Color,0,42,1664229449882.579,1852.130
Color,0,43,1664229449915.552,1885.968
Color,0,44,1664229449948.446,1921.756
Color,0,45,1664229449981.260,1953.570
Color,0,46,1664229450013.995,1990.659
Color,0,47,1664229450046.651,2023.095
Color,0,48,1664229450079.228,2057.158
Color,0,49,1664229450111.726,2086.738
Color,0,50,1664229450144.144,2120.175
Color,0,51,1664229450176.483,2153.664
Color,0,52,1664229450208.743,2185.246
Color,0,53,1664229450240.923,2218.458
Color,0,54,1664229450273.025,2251.816
Color,0,55,1664229450305.047,2285.205
Color,0,56,1664229450336.990,2318.504
Color,0,57,1664229450368.854,2351.865
Color,0,58,1664229450400.638,2385.310
Color,0,59,1664229450432.343,2418.667
Color,0,60,1664229450463.969,2452.060
Color,0,61,1664229450495.516,2485.331
Color,0,62,1664229450526.984,2518.710
Color,0,63,1664229450558.372,2552.076
Color,0,64,1664229450589.681,2585.391
Color,0,65,1664229450620.911,2618.738
Color,0,66,1664229450652.062,2652.174
Color,0,67,1664229450683.134,2685.414
Color,0,68,1664229450714.126,2718.934
Color,0,69,1664229450745.110,2752.233
Color,0,70,1664229450778.440,2785.549
Color,0,71,1664229450811.753,2818.857
Color,0,72,1664229450845.051,2852.291
Color,0,73,1664229450878.333,2885.531
Color,0,74,1664229450911.598,2919.109
Color,0,75,1664229450944.848,2952.445
Color,0,76,1664229450978.082,2985.723
Color,0,77,1664229451011.299,3019.036
Color,0,78,1664229451044.500,3052.426
Color,0,79,1664229451077.686,3085.737
Color,0,80,1664229451110.856,3119.118
Color,0,81,1664229451144.009,3152.484
Color,0,82,1664229451177.146,3185.847
Color,0,83,1664229451210.268,3219.108
Color,0,84,1664229451243.373,3252.573
Color,0,85,1664229451276.463,3285.884
Color,0,86,1664229451309.536,3319.247
Color,0,87,1664229451342.593,3352.596
Color,0,88,1664229451375.635,3385.950
Color,0,89,1664229451408.660,3427.685
Color,0,90,1664229451441.669,3452.933
Color,0,91,1664229451474.662,3486.252
Color,0,92,1664229451507.639,3519.449
Color,0,93,1664229451540.601,3552.848
Color,0,94,1664229451573.546,3586.163
Color,0,95,1664229451606.475,3619.390
Color,0,96,1664229451639.388,3652.919
Color,0,97,1664229451672.285,3686.158
Color,0,98,1664229451705.166,3719.571
Color,0,99,1664229451738.049,3752.876

Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Infrared,1,0,1664229448037.616,77.988
Infrared,1,1,1664229448073.312,109.496
Infrared,1,2,1664229448110.128,142.757
Infrared,1,3,1664229448148.063,175.759
Infrared,1,4,1664229448187.118,209.219
Infrared,1,5,1664229448227.294,242.830
Infrared,1,6,1664229448265.934,276.148
Infrared,1,7,1664229448305.066,309.553
Infrared,1,8,1664229448344.689,341.797
Infrared,1,9,1664229448382.350,375.139
Infrared,1,0,1664229448620.325,592.894
Infrared,1,1,1664229448656.360,627.094
Infrared,1,2,1664229448692.111,659.545
Infrared,1,3,1664229448727.700,692.665
Infrared,1,4,1664229448763.126,726.295
Infrared,1,5,1664229448798.362,759.637
Infrared,1,6,1664229448833.430,792.969
Infrared,1,7,1664229448868.331,826.369
Infrared,1,8,1664229448903.112,859.666
Infrared,1,9,1664229448937.727,893.228
Infrared,1,10,1664229448972.178,926.495
Infrared,1,11,1664229449006.567,959.775
Infrared,1,12,1664229449040.799,993.222
Infrared,1,13,1664229449074.873,1026.219
Infrared,1,14,1664229449108.789,1059.523
Infrared,1,15,1664229449142.549,1093.018
Infrared,1,16,1664229449176.150,1126.343
Infrared,1,17,1664229449210.263,1159.691
